x1,x2,y
-1.26,-1.474,1
-0.2978,0.4852,0
0.0061,-1.5719,1
-0.7973,1.2424,1
-1.7638,0.2888,1
1.3565,0.6442,1
0.26,-0.0466,0
-1.037,-1.6048,1
-0.3587,-0.0193,0
1.4288,0.6654,1
0.37,-0.2673,0
0.4688,-1.3421,1
1.7976,-0.6926,1
0.0021,0.0271,0
-0.0364,0.0763,0
0.1983,-0.0833,0
-0.0033,-0.0003,0
0.7597,1.5493,1
-0.5264,-1.5139,1
-0.7143,1.5437,1
-0.1815,-0.0215,0
0.9398,-1.5671,1
0.5397,1.5229,1
0.1663,-0.28,0
0.3573,-0.0323,0
-0.0726,0.1595,0
0.2829,0.2446,0
-1.1594,1.476,1
-0.0206,0.0004,0
-0.3598,-0.13,0
-1.56,-0.9329,1
-0.2257,-0.2499,0
0.267,-1.5939,1
1.9003,0.556,1
0.1869,0.4435,0
0.0665,-0.0508,0
-0.2804,0.4354,0
-0.4226,0.2083,0
1.3894,-0.2124,1
-0.0031,0.012,0
-0.1953,1.4837,1
-0.5231,-0.0986,0
1.4542,0.4324,1
-1.0849,-1.3528,1
1.425,1.3076,1
-1.2974,-0.6659,1
0.0097,-1.7737,1
0.3761,0.1976,0
-0.3734,-0.4312,0
0.8565,1.6374,1
-0.2455,0.3921,0
-1.3445,-1.3591,1
0.4878,-0.3171,0
-0.173,0.2406,0
1.4925,-0.3568,1
0.5425,-0.2034,0
0.3869,0.0913,0
-1.7094,-0.5463,1
-1.3954,1.4022,1
-0.312,-0.0053,0
0.9044,1.7264,1
0.4515,-0.2135,0
0.2048,-0.1545,0
1.5201,1.1158,1
-0.5136,-1.4543,1
-1.3798,0.66,1
-0.0029,1.9095,1
1.0117,-1.2794,1
-0.2087,-0.0477,0
0.0712,-0.0171,0
-0.0336,0.029,0
-0.0199,0.1091,0
-0.0266,-0.1934,0
0.9926,1.4893,1
1.8737,0.2155,1
-1.4224,-0.2839,1
0.0181,-0.5194,0
-1.1205,-1.1774,1
0.1693,0.1402,0
1.6206,-0.6389,1
0.1186,0.0124,0
0.1794,-0.3993,0
1.9345,0.3253,1
0.308,0.4937,0
-1.4484,-0.3781,1
-0.0472,-0.3101,0
0.0761,-0.0795,0
-0.303,1.592,1
-0.5357,0.0356,0
1.4968,-0.4362,1
-0.3165,0.1808,0
-0.073,-0.0811,0
0.0455,-0.119,0
0.311,0.1043,0
-1.4532,-0.1494,1
0.1222,0.2902,0
1.5088,-1.0205,1
-0.1694,-0.0428,0
1.2642,1.1298,1
1.5389,0.7382,1
-0.7959,-1.7779,1
1.6919,0.5696,1
-1.35,1.1432,1
-0.0093,0.1864,0
0.0451,0.0529,0
0.1296,-0.3435,0
-0.1444,-0.1188,0
-1.6935,0.9366,1
0.7177,-1.6738,1
0.0178,0.1007,0
-1.6412,-0.4837,1
-0.1715,0.518,0
0.0254,1.7785,1
0.0004,0.0936,0
-0.017,-0.0561,0
0.0285,0.0267,0
0.0276,0.5524,0
1.592,1.0738,1
1.1725,-1.4465,1
-0.3323,-0.3699,0
1.5537,-0.7221,1
0.3418,-0.2576,0
-0.1678,-0.4313,0
-0.1728,0.4038,0
0.2204,0.0441,0
-1.239,-1.5624,1
0.0414,-1.4506,1
-1.8692,-0.6644,1
-0.1573,0.1722,0
0.0086,-0.1173,0
0.8271,1.3581,1
-0.1175,-1.5419,1
1.7644,-0.439,1
-0.4061,-1.355,1
0.0145,0.283,0
0.0598,0.0396,0
-0.7957,1.6125,1
0.6133,-1.6438,1
-0.4982,-0.3201,0
-0.2153,0.4346,0
0.0839,-1.6995,1
-0.0337,0.1516,0
-0.2037,-0.4162,0
-1.3136,1.3638,1
0.1422,0.0906,0
-1.392,1.2101,1
1.7738,0.4641,1
-0.3733,1.84,1
0.3551,0.0155,0
0.0783,-0.0514,0
-1.4333,0.3848,1
0.0497,-0.109,0
0.9649,-1.2365,1
-1.2134,0.7423,1
-0.0295,0.0186,0
-1.1323,0.839,1
0.072,0.484,0
1.0457,-1.0137,1
-0.1636,-1.7393,1
-1.461,-1.302,1
-0.2596,-0.3354,0
1.739,0.1577,1
-0.3841,-1.6981,1
-1.945,0.3272,1
-0.0033,0.2971,0
0.393,-1.3469,1
-0.2688,0.3103,0
-0.025,-0.0469,0
1.7709,0.2608,1
-1.5764,-0.0311,1
0.3458,0.4452,0
-0.7787,-1.2305,1
0.0378,0.271,0
1.4158,-0.0846,1
0.0116,-0.0099,0
0.0433,0.0113,0
-1.3413,0.8636,1
-1.484,0.6549,1
-1.6037,0.647,1
0.1767,-0.0905,0
0.0305,0.4641,0
-1.2491,-1.0563,1
0.1978,-0.2368,0
0.0479,0.3575,0
0.2001,0.3889,0
-1.095,-1.2435,1
1.2305,0.8687,1
0.0121,-0.0636,0
1.0549,-1.5549,1
0.2023,-0.162,0
-0.3357,1.6455,1
-1.9616,0.1034,1
-0.1046,-0.1647,0
1.599,0.859,1
0.0274,-0.0266,0
-0.1097,-0.1203,0
1.7685,0.2841,1
0.0604,-0.1723,0
-0.0278,-0.0019,0
-0.264,-1.744,1
